epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9196,1.06471,4.6501,1.08332,0.03096,0.51853,0.05992,0.05231,0.80875,3.7811,0.84607,0.000113915,0.000113915,0.000113915
2,88.9596,1.03299,3.70498,1.01327,0.21302,0.27155,0.10479,0.08449,0.83283,3.36898,0.86118,0.000227404,0.000227404,0.000227404
3,127.397,1.02441,2.96975,0.99858,0.17158,0.38951,0.12332,0.09815,0.74829,3.02091,0.84646,0.000339375,0.000339375,0.000339375
4,165.627,0.95991,2.57874,0.99568,0.17565,0.42712,0.15258,0.1236,0.74339,2.89413,0.85341,0.000338169,0.000338169,0.000338169
5,203.668,0.91868,2.35538,0.98592,0.2184,0.35434,0.18947,0.14317,0.80802,2.33607,0.86143,0.000335892,0.000335892,0.000335892
6,241.979,0.89796,2.18259,0.98376,0.29035,0.40685,0.25847,0.20797,0.6864,2.07651,0.84637,0.000333615,0.000333615,0.000333615
7,280.293,0.85373,2.06775,0.96786,0.33243,0.42079,0.27163,0.21967,0.6913,1.93314,0.84585,0.000331338,0.000331338,0.000331338
8,318.156,0.84623,1.99251,0.96747,0.3224,0.43709,0.31466,0.2511,0.71853,1.81971,0.85854,0.000329061,0.000329061,0.000329061
9,356.053,0.83413,1.90303,0.96868,0.28158,0.4928,0.32865,0.2693,0.70335,1.77005,0.8589,0.000326784,0.000326784,0.000326784
10,394.117,0.81124,1.8718,0.9651,0.3625,0.51414,0.3758,0.30949,0.64381,1.83608,0.85154,0.000324507,0.000324507,0.000324507
11,431.857,0.79615,1.80817,0.96312,0.35647,0.55865,0.37227,0.30085,0.67079,1.67183,0.85118,0.00032223,0.00032223,0.00032223
12,469.943,0.7915,1.78587,0.95682,0.35118,0.53646,0.38091,0.30731,0.66962,1.61232,0.84094,0.000319953,0.000319953,0.000319953
13,507.787,0.77765,1.76209,0.95825,0.38195,0.55405,0.40032,0.33012,0.66376,1.61767,0.85425,0.000317676,0.000317676,0.000317676
14,545.75,0.79767,1.72807,0.95971,0.34185,0.50582,0.4083,0.33741,0.65083,1.63434,0.84686,0.000315399,0.000315399,0.000315399
15,583.659,0.77597,1.68034,0.95678,0.3791,0.57451,0.43475,0.36022,0.64095,1.49104,0.84638,0.000313122,0.000313122,0.000313122
16,621.981,0.76064,1.64725,0.94637,0.41053,0.58503,0.46367,0.38917,0.6234,1.4564,0.83568,0.000310845,0.000310845,0.000310845
17,659.786,0.76306,1.6549,0.94943,0.45662,0.55411,0.47695,0.4039,0.61049,1.44637,0.84187,0.000308568,0.000308568,0.000308568
18,697.764,0.74317,1.60312,0.94616,0.48274,0.50421,0.46542,0.38666,0.63658,1.56346,0.8496,0.000306291,0.000306291,0.000306291
19,735.816,0.74005,1.60256,0.9398,0.43691,0.57856,0.49726,0.41532,0.59981,1.37952,0.84054,0.000304014,0.000304014,0.000304014
20,773.722,0.7516,1.58604,0.94362,0.4666,0.5595,0.47663,0.39562,0.59462,1.43948,0.83685,0.000301737,0.000301737,0.000301737
21,811.488,0.75164,1.57601,0.94656,0.41352,0.62568,0.5071,0.42551,0.61709,1.36221,0.84331,0.00029946,0.00029946,0.00029946
22,849.589,0.72801,1.53491,0.9427,0.47235,0.5958,0.50685,0.42541,0.60315,1.39165,0.83926,0.000297183,0.000297183,0.000297183
23,887.76,0.74048,1.52926,0.93529,0.43526,0.6191,0.50923,0.43006,0.60068,1.31676,0.83779,0.000294906,0.000294906,0.000294906
24,925.689,0.71728,1.48421,0.94186,0.50816,0.58234,0.53455,0.44583,0.61264,1.31767,0.83443,0.000292629,0.000292629,0.000292629
25,963.805,0.72111,1.47255,0.93837,0.47163,0.60599,0.5111,0.42638,0.61489,1.32043,0.84008,0.000290352,0.000290352,0.000290352
26,1001.77,0.72477,1.47855,0.94431,0.47699,0.57044,0.53373,0.44441,0.6121,1.26743,0.8397,0.000288075,0.000288075,0.000288075
27,1039.79,0.72774,1.44559,0.94279,0.45734,0.57939,0.52873,0.4378,0.62562,1.29414,0.84983,0.000285798,0.000285798,0.000285798
28,1077.74,0.71667,1.43838,0.93544,0.49103,0.60355,0.53031,0.44824,0.5942,1.25344,0.84807,0.000283521,0.000283521,0.000283521
29,1115.53,0.71137,1.43266,0.93713,0.54075,0.6247,0.55429,0.47225,0.582,1.24338,0.8392,0.000281244,0.000281244,0.000281244
30,1153.45,0.71245,1.39474,0.93689,0.44143,0.6463,0.55689,0.46473,0.59312,1.2019,0.83535,0.000278967,0.000278967,0.000278967
31,1192,0.71469,1.38989,0.93484,0.54458,0.60406,0.57225,0.48137,0.59884,1.1537,0.84287,0.00027669,0.00027669,0.00027669
32,1229.88,0.70913,1.3624,0.93117,0.51768,0.5821,0.56644,0.48259,0.57732,1.21435,0.83333,0.000274413,0.000274413,0.000274413
33,1267.74,0.70806,1.36319,0.92717,0.49523,0.65035,0.56905,0.48068,0.58514,1.17513,0.83759,0.000272136,0.000272136,0.000272136
34,1305.71,0.7057,1.36914,0.93296,0.51941,0.62602,0.57878,0.49183,0.58027,1.19892,0.83557,0.000269859,0.000269859,0.000269859
35,1343.53,0.70397,1.33531,0.93786,0.48914,0.69329,0.57647,0.48812,0.58458,1.1772,0.83834,0.000267582,0.000267582,0.000267582
