epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6439,1.06442,4.64831,1.08287,0.03098,0.53201,0.06047,0.05246,0.80273,3.76114,0.84456,0.000113915,0.000113915,0.000113915
2,71.6369,1.04163,3.71126,1.01364,0.18283,0.31626,0.10572,0.0837,0.83647,3.19961,0.85654,0.000226649,0.000226649,0.000226649
3,95.1744,1.02823,2.97966,1.00239,0.16895,0.35376,0.12987,0.10442,0.76882,2.91272,0.85268,0.000337106,0.000337106,0.000337106
4,118.359,0.95316,2.57128,0.99154,0.14659,0.47902,0.17956,0.14278,0.78317,2.58727,0.86732,0.000334753,0.000334753,0.000334753
5,141.564,0.91991,2.35899,0.98961,0.20193,0.40914,0.20675,0.16024,0.79507,2.19492,0.85275,0.000331338,0.000331338,0.000331338
6,164.698,0.90173,2.16887,0.98396,0.24138,0.46404,0.25919,0.20643,0.71455,2.25921,0.8451,0.000327922,0.000327922,0.000327922
7,187.711,0.85973,2.07318,0.97278,0.28392,0.53215,0.30342,0.24899,0.67758,1.88916,0.83721,0.000324507,0.000324507,0.000324507
8,210.944,0.84668,1.97682,0.96431,0.32202,0.49999,0.34625,0.2834,0.69095,1.75711,0.85063,0.000321091,0.000321091,0.000321091
9,234.144,0.82636,1.89248,0.96793,0.2887,0.50585,0.33397,0.27708,0.69826,1.73673,0.8514,0.000317676,0.000317676,0.000317676
10,257.285,0.8031,1.85568,0.96062,0.37593,0.48298,0.378,0.31421,0.64424,1.73594,0.84726,0.000314261,0.000314261,0.000314261
11,280.651,0.78817,1.78593,0.95807,0.40784,0.55071,0.39828,0.32618,0.6752,1.612,0.85176,0.000310845,0.000310845,0.000310845
12,303.959,0.79748,1.77348,0.95827,0.40958,0.54387,0.41394,0.34015,0.64384,1.5933,0.84158,0.000307429,0.000307429,0.000307429
13,327.038,0.77683,1.73943,0.96071,0.34137,0.62175,0.40573,0.33344,0.6373,1.6163,0.85162,0.000304014,0.000304014,0.000304014
14,350.077,0.78794,1.72092,0.95792,0.35772,0.55801,0.42462,0.35531,0.64788,1.62806,0.8457,0.000300598,0.000300598,0.000300598
15,373.18,0.77731,1.67163,0.95586,0.41185,0.5264,0.45057,0.37446,0.64701,1.44195,0.84489,0.000297183,0.000297183,0.000297183
16,395.293,0.75626,1.6403,0.94588,0.41709,0.56112,0.47202,0.39804,0.62427,1.46563,0.83953,0.000293768,0.000293768,0.000293768
17,418.504,0.75349,1.6368,0.94643,0.48326,0.56343,0.49198,0.40985,0.6028,1.45416,0.83825,0.000290352,0.000290352,0.000290352
18,441.424,0.75043,1.59977,0.94487,0.42408,0.56355,0.49306,0.40993,0.60712,1.40471,0.84107,0.000286936,0.000286936,0.000286936
19,464.136,0.73475,1.6009,0.94031,0.41661,0.59581,0.51739,0.43021,0.61683,1.33494,0.84069,0.000283521,0.000283521,0.000283521
20,486.685,0.74942,1.57717,0.94132,0.44733,0.57523,0.4946,0.40838,0.6207,1.42749,0.84368,0.000280106,0.000280106,0.000280106
21,509.125,0.75688,1.56553,0.94729,0.40575,0.65092,0.51049,0.42719,0.61836,1.3398,0.84193,0.00027669,0.00027669,0.00027669
22,531.673,0.72529,1.52355,0.9433,0.49288,0.60231,0.51253,0.42792,0.60415,1.35029,0.84092,0.000273275,0.000273275,0.000273275
23,554.125,0.7446,1.52189,0.93729,0.48838,0.62824,0.51175,0.42255,0.61646,1.33088,0.84234,0.000269859,0.000269859,0.000269859
24,576.699,0.71149,1.46835,0.94095,0.48827,0.63455,0.53731,0.44887,0.61038,1.27264,0.84123,0.000266444,0.000266444,0.000266444
25,599.288,0.72025,1.46791,0.93921,0.50725,0.59795,0.53593,0.44811,0.59082,1.26242,0.83585,0.000263028,0.000263028,0.000263028
26,621.767,0.72275,1.47617,0.94271,0.43576,0.63171,0.52387,0.44006,0.5919,1.24361,0.83584,0.000259612,0.000259612,0.000259612
27,644.266,0.72186,1.44538,0.94065,0.45307,0.6247,0.52849,0.43821,0.62032,1.27199,0.84344,0.000256197,0.000256197,0.000256197
28,666.796,0.71269,1.43926,0.93478,0.51693,0.60247,0.55407,0.46582,0.56871,1.19203,0.8313,0.000252781,0.000252781,0.000252781
29,689.356,0.71013,1.42704,0.93581,0.51701,0.63805,0.56383,0.48259,0.56573,1.18931,0.83615,0.000249366,0.000249366,0.000249366
