                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.67617,                 1.3235,                0.92759,                0.51751,                0.64518,                0.60478,                0.51648,                0.55158,                 1.1109,                0.82695,             0.00011958,             0.00011958,             0.00011958
                     35,                0.66993,                 1.3224,                0.92182,                0.57346,                0.68904,                0.60531,                 0.5163,                0.55471,                 1.1005,                0.82968,             0.00011275,             0.00011275,             0.00011275
                     36,                 0.6773,                 1.3266,                0.92554,                0.50965,                0.65877,                0.60559,                0.52051,                0.54949,                 1.1762,                0.82578,             0.00010592,             0.00010592,             0.00010592
                     37,                0.66873,                 1.3039,                0.92826,                0.57274,                0.66059,                0.61616,                0.52906,                0.55734,                  1.093,                0.83286,             9.9084e-05,             9.9084e-05,             9.9084e-05
                     38,                 0.6698,                  1.297,                 0.9213,                0.55771,                0.62408,                0.62501,                0.53397,                0.55275,                 1.1031,                0.82938,             9.2253e-05,             9.2253e-05,             9.2253e-05
                     39,                0.66647,                 1.2835,                0.92458,                0.60132,                0.65801,                0.62849,                0.53536,                0.55154,                 1.0706,                0.82835,             8.5422e-05,             8.5422e-05,             8.5422e-05
                     40,                0.58864,                 1.1117,                 0.8718,                0.56324,                0.67394,                0.62248,                0.53305,                0.54795,                 1.0928,                0.82546,             7.8591e-05,             7.8591e-05,             7.8591e-05
                     41,                0.59089,                 1.0619,                0.86512,                 0.6069,                 0.6327,                0.64866,                0.55363,                0.55264,                 1.0783,                0.82727,              7.176e-05,              7.176e-05,              7.176e-05
                     42,                0.57733,                 1.0742,                0.86995,                0.56834,                0.69775,                0.64481,                0.55176,                0.54859,                 1.0476,                0.82502,             6.4929e-05,             6.4929e-05,             6.4929e-05
                     43,                0.58415,                 1.0442,                0.87341,                0.59457,                0.68569,                0.64928,                0.55723,                0.52779,                 1.0525,                0.82567,             5.8098e-05,             5.8098e-05,             5.8098e-05
                     44,                0.57795,                 1.0226,                0.86273,                0.61917,                0.67471,                0.65935,                0.56541,                 0.5457,                 1.0412,                0.82851,             5.1267e-05,             5.1267e-05,             5.1267e-05
                     45,                0.57767,                0.99426,                0.86003,                0.58913,                0.70112,                0.65869,                0.56404,                0.53164,                 1.0317,                0.82552,             4.4436e-05,             4.4436e-05,             4.4436e-05
                     46,                0.57043,                0.99973,                 0.8588,                0.59233,                0.67918,                 0.6604,                0.56756,                0.53464,                 1.0376,                0.82489,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     47,                0.55995,                0.98993,                0.86439,                0.61454,                0.69872,                 0.6638,                0.57124,                0.53281,                 1.0036,                0.82444,             3.0774e-05,             3.0774e-05,             3.0774e-05
                     48,                0.55619,                0.97221,                0.85869,                0.65407,                0.66045,                 0.6705,                0.57908,                0.52487,                0.99459,                0.82361,             2.3943e-05,             2.3943e-05,             2.3943e-05
                     49,                0.55785,                0.97193,                0.85327,                0.63515,                0.68566,                0.67284,                0.58106,                 0.5254,                0.98522,                0.82343,             1.7112e-05,             1.7112e-05,             1.7112e-05
