epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.489,0.92634,3.03955,1.07172,0.21449,0.47238,0.25127,0.20346,0.59855,2.33715,0.89963,0.000113915,0.000113915,0.000113915
2,460.59,0.78429,1.90657,1.00978,0.30268,0.61801,0.39901,0.31472,0.66721,1.86848,0.96153,0.000227404,0.000227404,0.000227404
3,670.22,0.80272,1.73852,1.0068,0.38308,0.56773,0.47982,0.39158,0.71557,1.57032,0.99764,0.000339375,0.000339375,0.000339375
4,878.922,0.79363,1.61897,1.00958,0.45435,0.59037,0.51896,0.42375,0.68417,1.45575,1.00356,0.000338169,0.000338169,0.000338169
5,1086.67,0.76972,1.52453,0.99782,0.60673,0.54609,0.57479,0.47473,0.64745,1.32006,0.95727,0.000335892,0.000335892,0.000335892
6,1294.91,0.77458,1.40351,1.00322,0.43966,0.68996,0.59124,0.48498,0.63899,1.17333,0.93426,0.000333615,0.000333615,0.000333615
7,1503.26,0.7396,1.27948,0.99098,0.56957,0.71095,0.63457,0.51905,0.66222,1.13523,0.95009,0.000331338,0.000331338,0.000331338
8,1722.1,0.73435,1.25356,0.97827,0.63089,0.61485,0.64933,0.54112,0.62375,1.06325,0.91914,0.000329061,0.000329061,0.000329061
9,1932.11,0.72638,1.18864,0.98764,0.57957,0.71781,0.68657,0.5826,0.59646,0.90586,0.93202,0.000326784,0.000326784,0.000326784
10,2141.83,0.71315,1.14927,0.98003,0.70645,0.6878,0.71047,0.60476,0.60179,0.8564,0.91436,0.000324507,0.000324507,0.000324507
11,2351.49,0.69089,1.07603,0.97048,0.67605,0.67141,0.70336,0.59858,0.57678,0.97864,0.91332,0.00032223,0.00032223,0.00032223
12,2560.3,0.69121,1.13299,0.96938,0.68352,0.72782,0.71904,0.61256,0.58132,0.84519,0.91118,0.000319953,0.000319953,0.000319953
13,2769.18,0.68284,1.05703,0.9734,0.6596,0.74957,0.7444,0.63338,0.58523,0.74516,0.91196,0.000317676,0.000317676,0.000317676
14,2978.22,0.69208,1.04435,0.97047,0.7679,0.68959,0.74271,0.63312,0.54776,0.75209,0.89623,0.000315399,0.000315399,0.000315399
15,3193.03,0.67032,1.03469,0.96,0.74003,0.71251,0.73072,0.61819,0.57335,0.79818,0.8991,0.000313122,0.000313122,0.000313122
16,3405.21,0.66172,0.98551,0.9545,0.69937,0.75439,0.75472,0.64857,0.55328,0.7435,0.8948,0.000310845,0.000310845,0.000310845
17,3619.02,0.65577,0.96574,0.95375,0.70266,0.75685,0.77123,0.65357,0.56495,0.7187,0.8982,0.000308568,0.000308568,0.000308568
18,3827.37,0.65527,0.95236,0.95364,0.75826,0.75624,0.77789,0.67541,0.53795,0.6615,0.8871,0.000306291,0.000306291,0.000306291
19,4035.4,0.63395,0.93985,0.94495,0.67735,0.77297,0.77061,0.65195,0.56598,0.6456,0.89997,0.000304014,0.000304014,0.000304014
20,4242.58,0.64194,0.92024,0.94109,0.78372,0.69891,0.76062,0.64973,0.54498,0.66786,0.89666,0.000301737,0.000301737,0.000301737
21,4455.33,0.64972,0.93308,0.94993,0.77122,0.73322,0.77434,0.65483,0.56241,0.61646,0.88969,0.00029946,0.00029946,0.00029946
22,4668.08,0.62862,0.92143,0.9486,0.75529,0.76293,0.77008,0.64963,0.56958,0.65609,0.91589,0.000297183,0.000297183,0.000297183
23,4879.44,0.63847,0.90194,0.93441,0.75074,0.75496,0.78649,0.66743,0.54909,0.6247,0.89419,0.000294906,0.000294906,0.000294906
24,5091.1,0.61356,0.84147,0.94035,0.79237,0.77492,0.79297,0.6786,0.54045,0.59222,0.88133,0.000292629,0.000292629,0.000292629
25,5306.43,0.61658,0.8701,0.93728,0.70628,0.76859,0.76394,0.64654,0.55053,0.67335,0.8978,0.000290352,0.000290352,0.000290352
26,5519.87,0.62386,0.87913,0.94253,0.76083,0.76113,0.78861,0.67672,0.53209,0.6401,0.8857,0.000288075,0.000288075,0.000288075
27,5732.57,0.60891,0.85019,0.93611,0.71722,0.77816,0.79555,0.68122,0.55186,0.58082,0.89661,0.000285798,0.000285798,0.000285798
28,5945.7,0.61715,0.83272,0.93731,0.71948,0.79469,0.79691,0.68409,0.53375,0.57216,0.8853,0.000283521,0.000283521,0.000283521
29,6158.34,0.61906,0.8439,0.94256,0.7803,0.77038,0.7733,0.67305,0.51364,0.59344,0.88799,0.000281244,0.000281244,0.000281244
30,6370.68,0.60134,0.81962,0.93555,0.68298,0.80331,0.78984,0.67836,0.53583,0.60295,0.89147,0.000278967,0.000278967,0.000278967
31,6582.76,0.61744,0.81864,0.93609,0.79266,0.80099,0.80544,0.69262,0.52792,0.54012,0.88181,0.00027669,0.00027669,0.00027669
32,6794.73,0.61591,0.80466,0.9395,0.74902,0.7809,0.80301,0.69118,0.51631,0.56074,0.87608,0.000274413,0.000274413,0.000274413
33,7006.8,0.60894,0.82476,0.92481,0.74106,0.79404,0.8169,0.70207,0.52606,0.53613,0.88189,0.000272136,0.000272136,0.000272136
34,7220.33,0.59666,0.79966,0.93351,0.80364,0.78847,0.80939,0.6965,0.50991,0.5219,0.87427,0.000269859,0.000269859,0.000269859
35,7432.19,0.5976,0.79167,0.93273,0.74011,0.81442,0.81025,0.70073,0.523,0.5246,0.88152,0.000267582,0.000267582,0.000267582
36,7649.41,0.60093,0.79141,0.93181,0.77249,0.78673,0.81224,0.69888,0.51772,0.54159,0.87899,0.000265305,0.000265305,0.000265305
37,7861.92,0.59478,0.77416,0.93004,0.80016,0.74246,0.79751,0.68954,0.51248,0.57471,0.87483,0.000263028,0.000263028,0.000263028
38,8074.12,0.58682,0.79397,0.92742,0.80291,0.81549,0.81983,0.71051,0.49629,0.5296,0.87322,0.000260751,0.000260751,0.000260751
39,8287.21,0.59352,0.7608,0.9311,0.79066,0.80059,0.81272,0.70607,0.49683,0.52978,0.87546,0.000258474,0.000258474,0.000258474
40,8499.18,0.58115,0.7413,0.92085,0.787,0.78722,0.81151,0.70685,0.49393,0.53181,0.8699,0.000256197,0.000256197,0.000256197
41,8711,0.57835,0.75326,0.92917,0.72612,0.78413,0.80533,0.7003,0.49641,0.53754,0.87467,0.00025392,0.00025392,0.00025392
42,8922.03,0.57232,0.75451,0.92343,0.77742,0.78937,0.80309,0.69591,0.52178,0.56829,0.88419,0.000251643,0.000251643,0.000251643
43,9136.1,0.58671,0.76222,0.92516,0.72452,0.80162,0.80345,0.69361,0.52209,0.58054,0.88344,0.000249366,0.000249366,0.000249366
44,9343.79,0.58098,0.76742,0.92356,0.75799,0.7828,0.81008,0.70468,0.50938,0.54917,0.87427,0.000247089,0.000247089,0.000247089
45,9553.42,0.57309,0.72084,0.92405,0.79395,0.81474,0.82016,0.71816,0.48028,0.50565,0.8651,0.000244812,0.000244812,0.000244812
46,9761.46,0.57339,0.73338,0.92336,0.72393,0.8243,0.8197,0.71659,0.50808,0.50858,0.87776,0.000242535,0.000242535,0.000242535
47,9976.55,0.56264,0.72922,0.91986,0.77863,0.83604,0.82523,0.7148,0.5064,0.51983,0.8698,0.000240258,0.000240258,0.000240258
48,10201.4,0.56082,0.72332,0.92579,0.81063,0.81838,0.82912,0.72093,0.5217,0.4857,0.88452,0.000237981,0.000237981,0.000237981
49,10419.7,0.56503,0.71946,0.9149,0.7768,0.82304,0.82256,0.71205,0.51106,0.52487,0.8771,0.000235704,0.000235704,0.000235704
50,10638,0.55849,0.69738,0.92249,0.81049,0.8213,0.8195,0.71164,0.49813,0.48453,0.87164,0.000233427,0.000233427,0.000233427
51,10856.6,0.56075,0.69902,0.91677,0.76234,0.79412,0.81759,0.71866,0.50026,0.524,0.87978,0.00023115,0.00023115,0.00023115
52,11074.3,0.54854,0.69397,0.90961,0.78911,0.82152,0.81184,0.70427,0.50382,0.51642,0.87279,0.000228873,0.000228873,0.000228873
53,11293.5,0.568,0.70315,0.92726,0.76894,0.82431,0.82851,0.71983,0.50349,0.46551,0.8699,0.000226596,0.000226596,0.000226596
54,11504,0.56272,0.69978,0.91842,0.80167,0.81541,0.82142,0.71804,0.48965,0.50093,0.86333,0.000224319,0.000224319,0.000224319
55,11713.4,0.54858,0.68623,0.9115,0.82394,0.82601,0.83801,0.73091,0.4972,0.47472,0.87194,0.000222042,0.000222042,0.000222042
56,11926.2,0.53917,0.6687,0.91148,0.76424,0.78959,0.81923,0.70753,0.50237,0.54682,0.86969,0.000219765,0.000219765,0.000219765
57,12140,0.56499,0.69135,0.91971,0.7877,0.82876,0.83947,0.73317,0.49153,0.49862,0.868,0.000217488,0.000217488,0.000217488
58,12352.2,0.55556,0.66475,0.91765,0.79569,0.84411,0.83689,0.73098,0.48813,0.50437,0.87074,0.000215211,0.000215211,0.000215211
59,12564.4,0.55015,0.69929,0.92489,0.77537,0.82427,0.83317,0.72049,0.50384,0.47795,0.87456,0.000212934,0.000212934,0.000212934
60,12776.3,0.55209,0.69144,0.91981,0.73584,0.8448,0.83341,0.72327,0.4964,0.49485,0.87491,0.000210657,0.000210657,0.000210657
61,12988.1,0.53996,0.66298,0.91596,0.77506,0.81265,0.82457,0.72198,0.49255,0.51277,0.86922,0.00020838,0.00020838,0.00020838
62,13200.8,0.54011,0.65084,0.91105,0.79057,0.82154,0.83313,0.73507,0.4754,0.46538,0.8614,0.000206103,0.000206103,0.000206103
63,13413.8,0.54303,0.63516,0.90969,0.74364,0.83031,0.82587,0.71837,0.48864,0.48257,0.86546,0.000203826,0.000203826,0.000203826
64,13626.4,0.52961,0.64588,0.90875,0.7674,0.82715,0.83633,0.73241,0.48785,0.46795,0.86495,0.000201549,0.000201549,0.000201549
65,20098.6,0.52721,0.64887,0.91001,0.79617,0.82343,0.82942,0.72582,0.47456,0.50265,0.86275,0.000199272,0.000199272,0.000199272
66,20303,0.52785,0.62657,0.9097,0.7921,0.82778,0.83584,0.73127,0.48103,0.49891,0.86491,0.000196995,0.000196995,0.000196995
67,20506.6,0.55743,0.64015,0.91437,0.81341,0.81835,0.83865,0.72685,0.48762,0.47091,0.86504,0.000194718,0.000194718,0.000194718
68,20709.8,0.52887,0.6311,0.90903,0.81128,0.82617,0.84125,0.73721,0.47264,0.44734,0.86085,0.000192441,0.000192441,0.000192441
69,20913.2,0.51914,0.62577,0.90685,0.78064,0.82934,0.83769,0.73097,0.47809,0.4721,0.85904,0.000190164,0.000190164,0.000190164
70,21116,0.53659,0.64985,0.90982,0.79411,0.82096,0.84122,0.73143,0.49501,0.46066,0.86866,0.000187887,0.000187887,0.000187887
71,21319.1,0.53414,0.65332,0.90634,0.76017,0.84118,0.83688,0.73032,0.47561,0.46834,0.85721,0.00018561,0.00018561,0.00018561
72,21523.2,0.53352,0.6285,0.91102,0.77829,0.80846,0.83173,0.72648,0.46873,0.47711,0.86007,0.000183333,0.000183333,0.000183333
73,21726.3,0.51627,0.62087,0.90682,0.79012,0.81807,0.8384,0.73366,0.4753,0.44218,0.86205,0.000181056,0.000181056,0.000181056
74,21928.4,0.51461,0.59587,0.90418,0.84027,0.82104,0.83574,0.72571,0.48121,0.4691,0.86703,0.000178779,0.000178779,0.000178779
75,22131.1,0.53946,0.61842,0.90949,0.82277,0.82161,0.83391,0.72631,0.48674,0.46184,0.86628,0.000176502,0.000176502,0.000176502
76,22334.3,0.51965,0.62707,0.90306,0.78033,0.83079,0.83493,0.73188,0.47521,0.45554,0.8599,0.000174225,0.000174225,0.000174225
77,22537,0.51655,0.60881,0.90193,0.78857,0.82276,0.83402,0.73145,0.46705,0.44947,0.85719,0.000171948,0.000171948,0.000171948
78,22740.3,0.49978,0.6033,0.90183,0.7549,0.81751,0.82798,0.72611,0.46761,0.46676,0.85745,0.000169671,0.000169671,0.000169671
79,22943.1,0.52041,0.62003,0.90624,0.81281,0.81303,0.82348,0.72184,0.48458,0.51121,0.86572,0.000167394,0.000167394,0.000167394
80,23144.7,0.51672,0.61354,0.90585,0.81699,0.79752,0.82684,0.72431,0.48082,0.47021,0.86656,0.000165117,0.000165117,0.000165117
81,23346.2,0.52204,0.60063,0.90549,0.77535,0.83714,0.8383,0.73679,0.47647,0.46191,0.86288,0.00016284,0.00016284,0.00016284
82,23549.3,0.51653,0.61797,0.91125,0.80164,0.8349,0.83378,0.73097,0.46672,0.47492,0.85977,0.000160563,0.000160563,0.000160563
83,23752.9,0.51311,0.57288,0.90125,0.80632,0.82041,0.84568,0.73984,0.47235,0.46716,0.86031,0.000158286,0.000158286,0.000158286
84,23954.9,0.50331,0.59386,0.90123,0.78788,0.83049,0.84579,0.74295,0.46726,0.44752,0.85982,0.000156009,0.000156009,0.000156009
85,24158.2,0.51006,0.58066,0.8979,0.78883,0.83641,0.84298,0.737,0.47588,0.47449,0.85894,0.000153732,0.000153732,0.000153732
86,24361.4,0.52029,0.58026,0.90027,0.77899,0.84495,0.83552,0.73152,0.47683,0.49306,0.86231,0.000151455,0.000151455,0.000151455
87,24564.4,0.51231,0.59538,0.89986,0.78255,0.83955,0.83851,0.73541,0.4658,0.47759,0.8595,0.000149178,0.000149178,0.000149178
88,24767.1,0.49358,0.58159,0.89731,0.77461,0.83064,0.84121,0.73865,0.4689,0.45837,0.85606,0.000146901,0.000146901,0.000146901
89,24970.1,0.4973,0.55825,0.89819,0.80416,0.8193,0.83435,0.73166,0.47596,0.46211,0.86242,0.000144624,0.000144624,0.000144624
90,25174,0.50744,0.57901,0.90402,0.81066,0.83071,0.84307,0.74047,0.47038,0.44686,0.85759,0.000142347,0.000142347,0.000142347
91,25377.2,0.50706,0.58641,0.89905,0.79756,0.8373,0.84357,0.73939,0.47219,0.44468,0.85895,0.00014007,0.00014007,0.00014007
92,25578.9,0.4915,0.57188,0.89606,0.81169,0.83157,0.84418,0.73513,0.47616,0.43987,0.86089,0.000137793,0.000137793,0.000137793
93,25781.8,0.50286,0.56538,0.90144,0.78329,0.80593,0.83418,0.73151,0.47164,0.46762,0.85769,0.000135516,0.000135516,0.000135516
94,25984.5,0.50102,0.57076,0.9006,0.82258,0.82959,0.83852,0.73383,0.47054,0.45711,0.86113,0.000133239,0.000133239,0.000133239
95,26186.9,0.50186,0.557,0.89817,0.82969,0.83487,0.84309,0.73783,0.46427,0.4362,0.85637,0.000130962,0.000130962,0.000130962
96,26390.3,0.49023,0.54807,0.89757,0.81844,0.81834,0.84379,0.73744,0.47154,0.47203,0.86223,0.000128685,0.000128685,0.000128685
97,26592.9,0.49054,0.56583,0.89155,0.80555,0.83325,0.83925,0.73314,0.48179,0.44914,0.86723,0.000126408,0.000126408,0.000126408
98,26795.3,0.49951,0.57212,0.90082,0.78662,0.84119,0.8455,0.73546,0.47575,0.4434,0.85985,0.000124131,0.000124131,0.000124131
