epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3643.65,0.5543,0.75203,0.91822,0.74023,0.78069,0.79679,0.68508,0.52089,0.61665,0.90072,0.000204965,0.000204965,0.000204965
43,3729.07,0.57425,0.76086,0.92023,0.79029,0.7638,0.7984,0.68925,0.50021,0.58086,0.88264,0.000201549,0.000201549,0.000201549
44,3814.33,0.55793,0.75735,0.91702,0.76842,0.78927,0.81834,0.7094,0.50037,0.53429,0.88627,0.000198134,0.000198134,0.000198134
45,3902,0.55404,0.7193,0.91456,0.82051,0.78649,0.82293,0.71489,0.49603,0.53725,0.88518,0.000194718,0.000194718,0.000194718
46,3989.06,0.55463,0.73583,0.91826,0.79216,0.80582,0.81468,0.69995,0.51446,0.5429,0.88642,0.000191303,0.000191303,0.000191303
47,4074.37,0.54182,0.73301,0.91423,0.77008,0.78202,0.81186,0.69958,0.52886,0.5665,0.89406,0.000187887,0.000187887,0.000187887
48,4159.64,0.5413,0.71718,0.91719,0.80108,0.79984,0.83249,0.71817,0.50718,0.53198,0.88698,0.000184472,0.000184472,0.000184472
49,4247.4,0.54985,0.72518,0.91241,0.80143,0.78996,0.81784,0.71378,0.49061,0.50637,0.87723,0.000181056,0.000181056,0.000181056
50,4332.77,0.53455,0.69357,0.91536,0.8083,0.77743,0.8138,0.71533,0.49392,0.50761,0.87971,0.00017764,0.00017764,0.00017764
51,4418.41,0.54461,0.69475,0.91434,0.80144,0.80071,0.807,0.70293,0.5008,0.52433,0.88006,0.000174225,0.000174225,0.000174225
52,4503.53,0.53444,0.684,0.90414,0.77895,0.79679,0.81648,0.71034,0.49057,0.55924,0.87916,0.000170809,0.000170809,0.000170809
53,4589.01,0.54416,0.69583,0.91963,0.80986,0.79643,0.81973,0.71,0.50937,0.50465,0.89362,0.000167394,0.000167394,0.000167394
54,4674.21,0.54393,0.69224,0.915,0.78749,0.79346,0.81144,0.70686,0.48707,0.53382,0.87823,0.000163978,0.000163978,0.000163978
55,4759.79,0.53711,0.67779,0.9099,0.83227,0.8058,0.8219,0.71693,0.49807,0.49425,0.88796,0.000160563,0.000160563,0.000160563
56,4845.47,0.52248,0.66452,0.9089,0.78293,0.79916,0.81347,0.70654,0.48901,0.5261,0.88031,0.000157147,0.000157147,0.000157147
57,4931.29,0.53919,0.67337,0.91174,0.78214,0.80585,0.82601,0.71994,0.49396,0.508,0.87878,0.000153732,0.000153732,0.000153732
58,5018.33,0.52615,0.64805,0.909,0.80545,0.80084,0.83154,0.72792,0.47414,0.48762,0.87303,0.000150317,0.000150317,0.000150317
59,5105.95,0.52625,0.684,0.91511,0.79691,0.82878,0.83602,0.73115,0.48114,0.46973,0.87625,0.000146901,0.000146901,0.000146901
60,5193.2,0.52909,0.6787,0.9119,0.80642,0.82748,0.84138,0.72781,0.48513,0.51731,0.87611,0.000143486,0.000143486,0.000143486
61,5278.97,0.51321,0.63469,0.90985,0.81906,0.80126,0.82786,0.71967,0.49432,0.48558,0.87831,0.00014007,0.00014007,0.00014007
62,5364.04,0.51343,0.63377,0.90509,0.76936,0.81763,0.83464,0.73414,0.47316,0.49628,0.87453,0.000136655,0.000136655,0.000136655
63,5451.74,0.5138,0.61906,0.90293,0.81603,0.80911,0.82686,0.727,0.47704,0.49136,0.86977,0.000133239,0.000133239,0.000133239
64,5536.87,0.50496,0.6298,0.90249,0.82126,0.8067,0.82741,0.72426,0.47186,0.48878,0.86834,0.000129824,0.000129824,0.000129824
65,5622.51,0.50796,0.62375,0.90499,0.75326,0.83388,0.83011,0.72719,0.47332,0.51129,0.87279,0.000126408,0.000126408,0.000126408
66,5707.81,0.50473,0.61284,0.90187,0.75524,0.81671,0.8182,0.72267,0.47724,0.52661,0.87022,0.000122992,0.000122992,0.000122992
67,5793.37,0.52675,0.62828,0.90513,0.79334,0.80705,0.82115,0.7256,0.46823,0.4977,0.86781,0.000119577,0.000119577,0.000119577
68,5880.39,0.50237,0.61257,0.9021,0.82722,0.78036,0.82714,0.7212,0.46775,0.49856,0.86523,0.000116161,0.000116161,0.000116161
69,5972.78,0.49776,0.60548,0.90181,0.82599,0.79832,0.82717,0.72112,0.47273,0.47288,0.86729,0.000112746,0.000112746,0.000112746
70,6058.73,0.50523,0.6244,0.9028,0.81439,0.80851,0.82313,0.71931,0.47744,0.49583,0.87213,0.000109331,0.000109331,0.000109331
71,6147.43,0.51173,0.62367,0.89954,0.81788,0.8291,0.8307,0.72762,0.47185,0.47777,0.86642,0.000105915,0.000105915,0.000105915
72,6238.05,0.50497,0.5934,0.90367,0.8199,0.80244,0.82656,0.72886,0.47088,0.48734,0.87,0.0001025,0.0001025,0.0001025
73,6329.11,0.48555,0.59275,0.89941,0.77969,0.81338,0.83027,0.72694,0.47601,0.48145,0.87104,9.9084e-05,9.9084e-05,9.9084e-05
74,6419.86,0.49235,0.57833,0.89891,0.83311,0.80129,0.82155,0.72409,0.46941,0.47991,0.869,9.56685e-05,9.56685e-05,9.56685e-05
75,6505.48,0.50006,0.58839,0.89865,0.82958,0.79775,0.82697,0.72989,0.4656,0.48278,0.86203,9.2253e-05,9.2253e-05,9.2253e-05
76,6591.67,0.48839,0.59167,0.89344,0.81362,0.79872,0.82521,0.72758,0.47008,0.48071,0.86503,8.88375e-05,8.88375e-05,8.88375e-05
77,6677.08,0.49226,0.57773,0.8948,0.8253,0.8033,0.83022,0.72594,0.47026,0.47272,0.86729,8.5422e-05,8.5422e-05,8.5422e-05
78,6762.07,0.46674,0.57784,0.89287,0.82166,0.82221,0.82958,0.72417,0.46788,0.47469,0.86662,8.20065e-05,8.20065e-05,8.20065e-05
79,6847.54,0.49301,0.59578,0.89805,0.78157,0.82904,0.83291,0.72873,0.48079,0.49088,0.87516,7.8591e-05,7.8591e-05,7.8591e-05
80,6932.38,0.48008,0.57346,0.89759,0.8157,0.80914,0.83474,0.73137,0.47537,0.47234,0.8726,7.51755e-05,7.51755e-05,7.51755e-05
81,7017.5,0.4921,0.57782,0.8988,0.80573,0.81731,0.83496,0.7324,0.46523,0.47161,0.868,7.176e-05,7.176e-05,7.176e-05
82,7102.37,0.47662,0.59188,0.89846,0.83001,0.80796,0.83619,0.72854,0.4704,0.48479,0.86969,6.83445e-05,6.83445e-05,6.83445e-05
83,7187.4,0.48492,0.54449,0.88992,0.80076,0.82309,0.84051,0.73572,0.4782,0.46686,0.87251,6.4929e-05,6.4929e-05,6.4929e-05
84,7274.22,0.47139,0.55852,0.89416,0.81734,0.80023,0.83265,0.73312,0.46852,0.46245,0.87346,6.15135e-05,6.15135e-05,6.15135e-05
85,7359.17,0.47453,0.54918,0.88871,0.79571,0.81974,0.83531,0.73537,0.45489,0.46426,0.86274,5.8098e-05,5.8098e-05,5.8098e-05
86,7443.87,0.4859,0.54661,0.89115,0.84328,0.80335,0.83719,0.73512,0.46603,0.47784,0.86893,5.46825e-05,5.46825e-05,5.46825e-05
87,7528.89,0.47387,0.56105,0.8916,0.8018,0.82616,0.83973,0.73785,0.46179,0.45775,0.86574,5.1267e-05,5.1267e-05,5.1267e-05
88,7615.82,0.46362,0.55058,0.8903,0.78916,0.8172,0.83916,0.73732,0.46208,0.45821,0.86446,4.78515e-05,4.78515e-05,4.78515e-05
89,7700.75,0.46214,0.52082,0.89073,0.83362,0.79952,0.83979,0.73278,0.46219,0.46666,0.86421,4.4436e-05,4.4436e-05,4.4436e-05
90,7785.5,0.46852,0.54353,0.89297,0.78635,0.84534,0.84071,0.73754,0.46405,0.45532,0.86607,4.10205e-05,4.10205e-05,4.10205e-05
91,7870.16,0.41492,0.33865,0.84076,0.76935,0.8163,0.8279,0.72549,0.46846,0.46938,0.86623,3.7605e-05,3.7605e-05,3.7605e-05
92,7954.35,0.40963,0.32563,0.84373,0.78744,0.82101,0.83466,0.73275,0.46295,0.47149,0.86339,3.41895e-05,3.41895e-05,3.41895e-05
93,8038.78,0.41349,0.32361,0.8404,0.7805,0.82514,0.83294,0.73167,0.462,0.47505,0.86235,3.0774e-05,3.0774e-05,3.0774e-05
94,8126.05,0.41137,0.32897,0.84183,0.78273,0.82521,0.83744,0.7382,0.46266,0.46623,0.8634,2.73585e-05,2.73585e-05,2.73585e-05
95,8216.4,0.40239,0.30785,0.84268,0.79723,0.81891,0.83731,0.73728,0.45663,0.47028,0.86092,2.3943e-05,2.3943e-05,2.3943e-05
96,8301.26,0.40785,0.3133,0.84716,0.8004,0.82149,0.84144,0.736,0.45733,0.46442,0.86083,2.05275e-05,2.05275e-05,2.05275e-05
97,8387.03,0.39932,0.30871,0.84516,0.82043,0.82649,0.83673,0.73179,0.4609,0.47107,0.86249,1.7112e-05,1.7112e-05,1.7112e-05
98,8472.16,0.40048,0.30968,0.83947,0.80482,0.8253,0.83695,0.73391,0.46114,0.46647,0.86167,1.36965e-05,1.36965e-05,1.36965e-05
99,8557.46,0.39522,0.30544,0.83741,0.80201,0.82684,0.83689,0.73631,0.45792,0.47004,0.86159,1.0281e-05,1.0281e-05,1.0281e-05
100,8642.48,0.39819,0.30824,0.83867,0.80812,0.82828,0.83889,0.73734,0.4588,0.47018,0.86292,6.8655e-06,6.8655e-06,6.8655e-06
