                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0662,                 4.1252,                  1.214,                0.31198,                0.21024,                0.15303,                0.11873,                0.81123,                 3.1192,                  1.045,             0.00010077,             0.00010077,             0.00010077
                      1,                0.94432,                 2.4696,                 1.1471,                0.36603,                0.54228,                0.39328,                0.30873,                0.79147,                  2.058,                 1.0793,             0.00016182,             0.00016182,             0.00016182
                      2,                  0.879,                 1.8565,                 1.1315,                0.62294,                0.67576,                0.64174,                0.50673,                0.80373,                 1.4949,                  1.129,             0.00018287,             0.00018287,             0.00018287
                      3,                0.84181,                 1.5713,                 1.1141,                0.68222,                0.79896,                 0.7354,                0.59386,                0.75782,                  1.315,                 1.1027,             0.00012302,             0.00012302,             0.00012302
                      4,                0.80851,                 1.4058,                 1.1014,                0.76087,                0.80942,                0.77512,                0.63336,                0.74441,                 1.1243,                 1.1079,             0.00012302,             0.00012302,             0.00012302
