epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3435,1.04958,4.71295,1.06524,0.03574,0.27013,0.0418,0.03406,0.81363,4.27824,0.83689,0.000113915,0.000113915,0.000113915
2,100.544,0.97993,4.12817,0.99243,0.3207,0.23669,0.10799,0.09041,0.82586,3.17628,0.8531,0.000226649,0.000226649,0.000226649
3,128.098,1.02372,3.38964,0.99053,0.13455,0.37732,0.12573,0.10298,0.77331,3.05664,0.85677,0.000337106,0.000337106,0.000337106
4,155.552,0.98993,2.76222,0.99807,0.25671,0.36588,0.16002,0.12908,0.7536,2.71136,0.85865,0.000334753,0.000334753,0.000334753
5,182.366,0.93981,2.4509,0.98325,0.17984,0.43975,0.17285,0.13799,0.75546,2.32393,0.85893,0.000331338,0.000331338,0.000331338
6,209.261,0.90193,2.25069,0.97703,0.21782,0.4476,0.21479,0.17124,0.67262,2.04893,0.84593,0.000327922,0.000327922,0.000327922
7,236.157,0.85268,2.15156,0.96625,0.24467,0.50285,0.24568,0.2018,0.67202,1.99706,0.84456,0.000324507,0.000324507,0.000324507
8,263.082,0.84635,2.05228,0.95868,0.29133,0.48312,0.28731,0.23966,0.6477,1.86292,0.84339,0.000321091,0.000321091,0.000321091
9,289.933,0.82743,1.9858,0.96414,0.3221,0.52578,0.33097,0.27216,0.67029,1.74975,0.84904,0.000317676,0.000317676,0.000317676
10,316.985,0.81299,1.91692,0.95424,0.31947,0.48904,0.34001,0.28357,0.62851,1.7117,0.84567,0.000314261,0.000314261,0.000314261
11,343.828,0.78023,1.86122,0.9487,0.32107,0.55185,0.35585,0.29482,0.67405,1.66443,0.85354,0.000310845,0.000310845,0.000310845
12,370.77,0.78611,1.83187,0.94787,0.33642,0.56638,0.37067,0.3109,0.65189,1.6315,0.84119,0.000307429,0.000307429,0.000307429
13,397.547,0.77762,1.80891,0.95289,0.34972,0.53691,0.37899,0.31805,0.62897,1.62936,0.84151,0.000304014,0.000304014,0.000304014
14,424.384,0.79772,1.8033,0.95267,0.33315,0.50611,0.37821,0.31842,0.62556,1.62014,0.84306,0.000300598,0.000300598,0.000300598
15,450.851,0.77912,1.74973,0.94734,0.32619,0.58244,0.40432,0.3423,0.61848,1.51931,0.84408,0.000297183,0.000297183,0.000297183
16,477.715,0.76004,1.715,0.93939,0.38908,0.55262,0.41358,0.35063,0.59067,1.49743,0.84361,0.000293768,0.000293768,0.000293768
17,504.156,0.75703,1.70415,0.94211,0.39541,0.5596,0.43285,0.36739,0.59357,1.4511,0.8373,0.000290352,0.000290352,0.000290352
18,530.542,0.74588,1.67964,0.93605,0.39901,0.55287,0.43952,0.37298,0.59152,1.45959,0.83855,0.000286936,0.000286936,0.000286936
